can	罐頭	罐头
dry dock	幹船塢	干船坞
ni-hard	鎳硬	镍硬
power steering	動力轉向裝置	动力转向装置
water pistol	玩具噴水槍	玩具喷水枪
snake fence	<美>蛇形圍柵	<美>蛇形围栅
straw wine	白葡萄酒	白葡萄酒
chess board	棋盤	棋盘
stepping stone	墊腳石	垫脚石
fusion bomb	熱核彈（尤指氫彈）	热核弹（尤指氢弹）
oval window	卵圓窗	卵圆窗
naval radar	海軍雷達	海军雷达
wild bean	擬大豆	拟大豆
silk screen print	印刷	印刷
line printer	行式印表機	行式打印机
line of merchandise	商品線	商品线
tobacco pipe	菸斗	烟斗
sleeping pill	安眠藥片	安眠药片
refugee camp	難民收容所	难民收容所
harbor seal	斑海豹	斑海豹
detention centre	拘留中心	拘留中心
sea lily	海百合	海百合
norwegian sea	挪威海	挪威海
coffee berry	咖啡豆	咖啡豆
mexican pocket mouse	墨西哥口袋老鼠	墨西哥口袋老鼠
purple ground cherry	紫色地面櫻桃	紫色地面樱桃
desert olive	沙漠橄欖	沙漠橄榄
lemon grass	（香料）香茅草	（香料）香茅草
us mint	美國鑄幣局	美国铸币局
old witch grass	毛線稷	毛线稷
bishop pine	刺毯松	刺毯松
hunting lodge	狩獵者小屋	狩猎者小屋
bell arch	鍾狀拱	钟状拱
flower bud	花骨朵	花骨朵
diving bell	潛水鐘	潜水钟
fossil fuel	化石燃料	化石燃料
fuel injection	燃油噴射	燃油喷射
needle wood	針葉材	针叶材
kitty-cat	凱蒂貓	凯蒂猫
ruby wood	露比伍德	露比伍德
sand reed	沙蘆葦	沙芦苇
buffalo chip	水牛晶片	水牛芯片
needle-wood	西南荷木	西南荷木
pencil box	鉛筆盒	铅笔盒
cow chip	硬牛糞團	硬牛粪团
pirate ship	賊船	贼船
tin plate	鍍錫鐵皮	镀锡铁皮
line-at-a-time printer	行式印表機	行式打印机
filing cabinet	檔案櫥櫃	档案橱柜
rock brake	鬯珠蕨（Gryptogramma acrostichoides）	鬯珠蕨（Gryptogramma acrostichoides）
riding lamp	停泊燈	停泊灯
rabbit bush	兔子叢林	兔子丛林
garden cart	園地小車	园地小车
bore bit	鏜孔鑽頭	镗孔钻头
peace lily	和平百合	和平百合
fried egg	荷包蛋	荷包蛋
drinking straw		
wash-hand basin	洗面器	洗面器
drilling bit	鑽頭	钻头
sailing boat	帆船	帆船
ski jacket	滑雪衫	滑雪衫
grand canyon	（美）大峽谷	（美）大峡谷
horse bean	蠶豆	蚕豆
horse-cart	馬車	马车
hook of holland	荷蘭角	荷兰角
beef cattle	菜牛	菜牛
short sleeve	短袖	短袖
cart horse	拉貨車的馬	拉货车的马
pond apple	牛心果	牛心果
florida bean	佛羅里達豆	佛罗里达豆
tooth root	牙根	牙根
horse cart	馬車	马车
soap powder	肥皂粉	肥皂粉
red ginger	紫薑	紫姜
silk cotton	絲光木棉	丝光木棉
conducting wire	導線	导线
blue gum	桉樹	桉树
scheme arch	平弧拱	平弧拱
cough drop	止咳糖	止咳糖
banana split	香蕉半剖條	香蕉半剖条
goat cheese	山羊乳乾酪	山羊乳干酪
mint family	唇形科	唇形科
dial phone	撥盤式電話	拨盘式电话
vienna roll	維也納小麵包	维也纳小面包
cape buffalo	產於南非之黑色大水牛	产于南非之黑色大水牛
artillery plant	英文名稱	英文名称
pepper sauce	辣椒沙司	辣椒沙司
vegetable oil	植物油	植物油
silver berry	銀棗子	银枣子
yellow dock	酸模	酸模
ring armor	環鎧甲	环铠甲
mild silver protein	弱蛋白銀	弱蛋白银
fur hat	裘皮帽	裘皮帽
nut bread	果麵包	果面包
tin hat	鋼盔	钢盔
pillow block	軸臺	轴台
roman collar	教士領（等於clerical collar）	教士领（等于clerical collar）
canada lily	【植物】加拿大百合(Lilium canadense)[亦稱作 meadow lily]	【植物】加拿大百合(Lilium canadense)[亦称作 meadow lily]
wool	羊毛	羊毛
tire tool	輪胎維護類工具	轮胎维护类工具
hay	乾草	干草
ammunition	軍火	军火
fountain	水源	水源
paste	麵糰	面团
turtle	海龜	海龟
sack	麻布袋	麻布袋
bio lab	生物科技實驗室	生物科技实验室
blanket flower	天人菊	天人菊
ski mask	滑雪面具	滑雪面具
lemon juice	檸檬汁	柠檬汁
storage-battery grid	蓄電池電網	蓄电池电网
train depot	列車站	列车站
flame flower	火花	火花
flame-flower	火焰花	火焰花
basket flower	【植物學】	【植物学】
detention cell	拘留所	拘留所
leaf bug	盲蝽	盲蝽
japanese carpet grass	日本地毯草	日本地毯草
tea cart	茶几布	茶几布
water-mint	水薄荷	水薄荷
water mint	水薄荷	水薄荷
lightning bug	螢火蟲	萤火虫
paper towel	廚房紙巾	厨房纸巾
ion pump	離子泵	离子泵
rubber boot	膠靴	胶靴
pilot cloth	藍色粗呢	蓝色粗呢
pilot ladder	（引航員用的）繩梯	（引航员用的）绳梯
paste-up	東拼西湊而成的文章	东拼西凑而成的文章
muscle fiber	肌纖維	肌纤维
solar thermal system	太陽能熱系統	太阳能热系统
ranging pole	視距尺	视距尺
corn snake	玉米錦蛇	玉米锦蛇
crash helmet	頭盔	头盔
depth gauge	深度計	深度计
record sleeve	唱片套	唱片套
rider plate	內龍骨面板	内龙骨面板
european white lily	歐式白百合	欧式白百合
upper jaw	上頜	上颌
lounge car	火車上的上等車廂	火车上的上等车厢
common ginger	姜	姜
electric cord	電線	电线
chess piece	國際象棋棋子	国际象棋棋子
squeeze box	（六角）手風琴	（六角）手风琴
tooth shell	掘足綱(Scaphopoda)軟體動物	掘足纲(Scaphopoda)软体动物
gum ball	主要用於美式英語	主要用于美式英语
common bean plant	普通豆廠	普通豆厂
quebec bridge	魁北克橋	魁北克桥
fuel injection system	燃料噴射系統	燃料喷射系统
slide valve	滑閥	滑阀
river gum	金河	金河
brake band	制動閘	制动闸
bow and arrow	弓弩	弓弩
cloth cap	布帽	布帽
throw pillow	(尤指用作裝飾品的)小枕頭	(尤指用作装饰品的)小枕头
port jackson pine	傑克遜港	杰克逊港
port jackson fig	傑克遜港無花果	杰克逊港无花果
rush nut	莎草	莎草
flash lamp	閃光燈	闪光灯
thumb index	書邊挖月索引	书边挖月索引
mouse deer	大鼷鹿	大鼷鹿
american rock brake	美國搖滾剎車	美国摇滚刹车
wax light	光蠟	光蜡
leaf blade	葉片	叶片
frost fish	小雪魚（產於北美）	小雪鱼（产于北美）
deer mouse	鹿鼠	鹿鼠
page printer	頁式印刷機	页式印刷机
air-raid shelter	防空洞	防空洞
chinese fried rice	中式炒飯	中式炒饭
butter cookie	奶油曲奇餅	奶油曲奇饼
broad gauge	寬軌	宽轨
vacuum tube	真空管	真空管
cookie sheet	甜酥餅乾	甜酥饼干
globe pepper	地球胡椒	地球胡椒
starter motor	起動電動機	起动电动机
carpet snake	地毯蛇	地毯蛇
bass horn	低音喇叭	低音喇叭
mount logan	洛根山	洛根山
yellow bean	黃豆	黄豆
bull pine	泡松	泡松
echo chamber	迴音室	回音室
guinea flower	幾內亞花	几内亚花
nude painting	裸體畫	裸体画
lawn chair	（美）草坪躺椅	（美）草坪躺椅
ice-cream soda	冰激凌蘇打	冰激凌苏打
bull shark	牛鯊	牛鲨
character printer	字元印表機	字符打印机
spike mike	穗麥克	穗麦克
jacket potato	帶皮烤的馬鈴薯	带皮烤的马铃薯
blind gut	盲腸	盲肠
plasma cell	漿細胞	浆细胞
shopping cart	購物車	购物车
coast lily	海岸百合	海岸百合
junk dna	垃圾DNA	垃圾DNA
foot brake	腳制動器	脚制动器
instrument of torture	刑具	刑具
seven seas	世界七大洋（即北冰洋	世界七大洋（即北冰洋
page-at-a-time printer	頁式印表機	页式打印机
optical bench	光具座	光具座
breast drill	胸壓鑽	胸压钻
snack	小吃	小吃
dope	吸毒者	吸毒者
detention camp	隔離營	隔离营
petroleum	石油	石油
field mint	薄荷	薄荷
cleaner	清潔工人	清洁工人
particle	顆粒	颗粒
vault	拱頂	拱顶
champagne	香檳酒	香槟酒
delaware	特拉華(美國州名)	特拉华(美国州名)
monument	紀念碑	纪念碑
wagon	四輪馬車	四轮马车
scrap	碎片	碎片
pharmaceutical	藥品	药品
peanut	花生	花生
ditch	溝渠	沟渠
balloon	氣球	气球
activated carbon	活性炭	活性炭
stern	尾部	尾部
field garlic	田野大蒜	田野大蒜
brakes	剎車系統	刹车系统
slope	傾斜	倾斜
rack	架	架
chrome	鉻	铬
shuttle	穿梭	穿梭
acoustic device	聲學裝置	声学装置
water fountain	飲水器	饮水器
pearl-weed	珍珠粉	珍珠粉
composite material	複合材料	复合材料
golden buttons	金色按鈕	金色按钮
egyptian corn	埃及高粱	埃及高粱
shore pine	柱松	柱松
marble-wood	大理石木	大理石木
towel bar	毛巾杆	毛巾杆
rear lamp	尾燈	尾灯
wood drake	木柴	木柴
compound leaf	複葉	复叶
rat snake	鼠蛇	鼠蛇
high-vitamin diet	高維生素飲食	高维生素饮食
piano keyboard	鋼琴鍵盤	钢琴键盘
united states mint	美國鑄幣局	美国铸币局
potato chip	炸土豆片	炸土豆片
ankle joint	踝關節	踝关节
reed grass	蘆葦	芦苇
penny grass	銅錢草	铜钱草
neutral spirits	[化學]（95%的）中性酒精	[化学]（95%的）中性酒精
naval installation	海軍安裝	海军安装
optical crown glass	冕光學玻璃（指低色散光學玻璃）	冕光学玻璃（指低色散光学玻璃）
pen-and-ink	書寫工具	书写工具
cottage cheese	軟白乾酪	软白干酪
beach towel	沙灘巾	沙滩巾
bicycle chain	腳踏車鏈條	自行车链条
bus depot	公共汽車停車場	公共汽车停车场
red silk cotton	紅絲棉	红丝棉
suit of armor	盔甲	盔甲
roman arch	半圓拱	半圆拱
garlic press	壓蒜器	压蒜器
sweet gum	香楓	香枫
cart-track plant	車軌道工廠	车轨道工厂
statue of liberty	自由女神像	自由女神像
threshold gate	閾門	阈门
facial tissue	擦面用的薄紙	擦面用的薄纸
cluster bomb	（爆炸時迸射出許多小炸彈的）集束炸彈	（爆炸时迸射出许多小炸弹的）集束炸弹
african lily	百子蓮	百子莲
circular file	迴圈檔案	循环文件
reviewing stand	閱兵臺	阅兵台
yellow berry	桑懸鉤子屬	桑悬钩子属
composite plant	複合植物	复合植物
soap dish	肥皂碟	肥皂碟
gum plant	膠草	胶草
wine cooler	冷酒器	冷酒器
portrait lens	人像鏡頭	人像镜头
dining-room furniture	餐廳傢俱	餐厅家具
dutch oven	荷蘭灶	荷兰灶
job-oriented terminal	面向作業的終端	面向作业的终端
elevated railway	高架鐵道	高架铁道
satellite receiver	衛星接受器	卫星接受器
extension ladder	伸縮梯	伸缩梯
threshold element	閾元件	阈元件
surgical knife	手術刀	手术刀
memorial tablet	牌位	牌位
bird of prey	勐禽	勐禽
desktop computer	臺式電腦	台式电脑
canada ginger	加拿大姜	加拿大姜
mighty mouse	滑鼠	鼠标
pine mouse	松田鼠	松田鼠
explosive device	引爆裝置	引爆装置
upside-down cake	倒置型水果蛋糕	倒置型水果蛋糕
auto tire	汽車外胎	汽车外胎
wax paper	蠟紙	蜡纸
organ pipe	風琴管	风琴管
circular plane	圓刨	圆刨
serving cart	手推餐車	手推餐车
pipe organ	管風琴	管风琴
wax figure	臘人	腊人
powder horn	（牛角制的）火藥筒	（牛角制的）火药筒
cocktail	雞尾酒	鸡尾酒
umbrella	傘	伞
water wagon	運水車	运水车
mosque	清真寺	清真寺
tomb	墳墓	坟墓
date-nut bread	椰棗堅果麵包	椰枣坚果面包
river red gum	赤桉	赤桉
shooting brake	小型載貨汽車	小型载货汽车
spice tree	香料樹	香料树
cod	鱈	鳕
fist	拳頭	拳头
earth wax	地蠟	地蜡
gum tree	產樹膠的樹	产树胶的树
nursery	託兒所	托儿所
cloth covering	布質蒙皮	布质蒙皮
music rack	譜臺	谱台
wood lily	飛鳥百合(Lilium philadelphicum)	飞鸟百合(Lilium philadelphicum)
moss	苔蘚	苔藓
frog	青蛙	青蛙
onion	洋蔥	洋葱
banana quit	蕉林鶯	蕉林莺
national monument	國家歷史文物	国家历史文物
bar printer	條式印表機	条式打印机
index fossil	標準化石	标准化石
polar bear	北極熊	北极熊
lens hood	物鏡[透鏡]遮光罩	物镜[透镜]遮光罩
automobile engine	汽車發動機引擎	汽车发动机引擎
jerusalem cherry	冬珊瑚	冬珊瑚
sounding line	測深索	测深索
carpet bug		
wind generator	造風機	造风机
jerusalem oak	【植】總狀花藜 (Chenopodium botrys)	【植】总状花藜 (Chenopodium botrys)
p-n junction	（半導體中的）p-n結	（半导体中的）p-n结
cannon bone	炮骨(有蹄類的中間掌骨或蹠骨)	炮骨(有蹄类的中间掌骨或跖骨)
shoulder pad	軸肩衰減器	轴肩衰减器
ash bin	灰倉	灰仓
ash-bin	垃圾桶	垃圾桶
impact printer	擊打式印刷機	击打式印刷机
rocky mountain jay	落磯山傑伊	落矶山杰伊
tracked vehicle	履帶式汽車	履带式汽车
oregon pine	美國松	美国松
chain armor	鎖子甲	锁子甲
parallel interface	並行介面	并行接口
tiger shark	沙鯊	沙鲨
hydrogen bomb	氫彈	氢弹
rose gum	巨桉	巨桉
warming pan	長柄暖床器[爐]	长柄暖床器[炉]
atomic bomb	原子彈	原子弹
day nursery	日託託兒所	日托托儿所
spark counter	電火花計數器	电火花计数器
lamp shell	腕足動物	腕足动物
snack food	點心	点心
black rat snake	黑鼠蛇	黑鼠蛇
vitamin bc	葉酸	叶酸
bass drum	低音鼓	低音鼓
chocolate liquor	巧克力利口酒	巧克力利口酒
butterfly fish	蝶魚	蝶鱼
brown betty	褐色貝蒂布丁	褐色贝蒂布丁
machine pistol	自動手槍	自动手枪
naval missile	海軍導彈	海军导弹
cottage pink	常夏石竹	常夏石竹
air shaft	通風井	通风井
speed indicator	速度計	速度计
egg-and-anchor	蛋和錨	蛋和锚
pointed arch	哥德式拱	哥德式拱
great plains	大平原	大平原
air cleaner	空氣濾清器	空气滤清器
washing powder	洗滌（劑）粉	洗涤（剂）粉
danish blue	丹麥青紋乾酪	丹麦青纹干酪
american sweet gum	北美楓香樹	北美枫香树
japanese chess	將棋	将棋
towel ring	毛巾掛環	毛巾挂环
mud brick	泥磚	泥砖
long moss		
green turtle	海龜	海龟
butterfly plant	蝴蝶植物	蝴蝶植物
police wagon	警車	警车
fuel-air explosive	〔軍〕空氣引爆燃料炸藥	〔军〕空气引爆燃料炸药
mineral pitch	地瀝青	地沥青
wire cloth	鋼絲布	钢丝布
petroleum future	石油未來	石油未来
lemon sole	檬鰈	檬鲽
northern pitch pine	北闊松	北阔松
monkey-bread tree	猴麵包樹	猴面包树
canada garlic	加拿大大蒜	加拿大大蒜
wool oil	羊毛油	羊毛油
built-soap powder	內建肥皂粉	内置肥皂粉
mountain lily	山百合	山百合
sun lounge	日光室	日光室
spirit gum	（演員粘假髮用的）快乾膠水	（演员粘假发用的）快干胶水
moss family	青苔家族	青苔家族
ginger pop		
rat-tail file	圓銼	圆锉
spinning frame	紡絲機	纺丝机
nut butter	果仁奶油	果仁奶油
emergency brake	應急剎車	应急刹车
lily of the valley	鈴蘭	铃兰
red rat snake	紅鼠蛇	红鼠蛇
exterior door	外門	外门
thunder snake	蠕形殼蛇	蠕形壳蛇
navy bean	菜豆	菜豆
brazil-nut tree	巴西慄	巴西栗
acoustic storage	聲儲存器	声存储器
wrist bone	腕骨	腕骨
top onion	珠芽圓蔥	珠芽圆葱
banana bread	香蕉麵包	香蕉面包
waist pack	腰包	腰包
particle board	碎料板	碎料板
sour	酸味	酸味
manila	馬尼拉	马尼拉
mankind	人類	人类
bomber	轟炸機	轰炸机
mid-atlantic ridge	大西洋中脊	大西洋中脊
floor wax	地板蠟	地板蜡
space shuttle	太空梭	航天飞机
yale	耶魯	耶鲁
cotton fiber	棉纖維	棉纤维
terrace	階地	阶地
sea turtle	海龜	海龟
vegetable garden	菜圃	菜圃
candle	蠟燭	蜡烛
lining	襯裡	衬里
corridor	走廊	走廊
holly	冬青樹	冬青树
spoon	匙	匙
abbey	大修道院	大修道院
teddy	連衫襯褲	连衫衬裤
coconut	椰子	椰子
power module	電源塊	电源块
straw hat	夏季劇院	夏季剧院
southern triangle	南三角座	南三角座
steel arch bridge	鋼拱橋	钢拱桥
box turtle	(產於北美洲的)箱龜[亦作 box tortoise]	(产于北美洲的)箱龟[亦作 box tortoise]
micro chip	微晶片	微芯片
can opener	開罐器	开罐器
munich beer	慕尼黑啤酒	慕尼黑啤酒
rock wool	礦毛絕緣纖維	矿毛绝缘纤维
sounding lead	測深錘	测深锤
lawn tool	草坪工具	草坪工具
lake chad	查德湖	查德湖
black moss	髮菜	发菜
golf cart	高爾夫球車	高尔夫球车
towel horse	毛巾架	毛巾架
leisure wear	休閒裝	休闲装
hip pad	護胯	护胯
roller blind	<英>（窗戶上用以遮陽的）捲簾	<英>（窗户上用以遮阳的）卷帘
touring car	遊覽汽車	游览汽车
paint roller	油漆滾子	油漆滚子
keyboard instrument	鍵盤樂器	键盘乐器
cruise missile	巡航導彈	巡航导弹
northern pin oak	北方針櫟	北方针栎
wire gauge	線規	线规
static tube	靜壓管	静压管
true frog	蛙科	蛙科
nut grass	香附子	香附子
radio aerial	無線電天線	无线电天线
whole wheat bread	全麥包	全麦包
rabbit ears	<口>（呈V形可隨意調整的雙杆）室內天線	<口>（呈V形可随意调整的双杆）室内天线
bank vault	銀行金庫	银行金库
ski pole	滑雪杖	滑雪杖
monkey jacket	緊身短上衣	紧身短上衣
mountain blue berry	山藍莓	山蓝莓
air conditioning	用空調裝置調節空氣	用空调设备调节空气
pine-weed	松木	松木
japan wax	野漆樹蠟	野漆树蜡
yard-long bean	裙帶豆	裙带豆
cylinder lock	圓筒銷子鎖	圆筒销子锁
wax plant	毯蘭	毯兰
